file_pair,num_pref_A,num_pref_B,num_pref_equal
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,6,9,85
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin5_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,11,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin40_scaled0.5.wav,1,3,7
sid3629-clean-COSINE-4174-F_close_72_freqbin40_scaled1000.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,11,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin4_scaled0.5.wav,1,0,10
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin4_scaled10.0.wav,5,3,3
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin5_scaled1000.0.wav,11,0,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,11,13,84
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin40_scaled1000.0.wav,10,1,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin5_scaled0.5.wav,0,1,10
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin40_scaled10.0.wav,9,0,2
sid3629-clean-COSINE-4174-F_close_72_freqbin40_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,11,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin4_scaled1000.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,11,0
sid3629-clean-COSINE-4174-F_close_72_freqbin40_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,0,11
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin4_scaled10.0.wav,8,0,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin2_scaled10.0.wav,1,3,4
sid3629-clean-COSINE-4174-F_close_72_freqbin4_scaled1000.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,8,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin2_scaled0.5.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,1,7
sid1816-anchor-COSINE-2734-M_close_91_freqbin40_scaled0.5.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,0,8
sid3629-clean-COSINE-4174-F_close_72_freqbin4_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,1,2,5
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin2_scaled1000.0.wav,8,0,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin40_scaled1000.0.wav,8,0,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,7,7,88
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin41_scaled1000.0.wav,6,0,2
sid5333-noisy-COSINE-7408-M_array1_149_freqbin41_scaled0.5.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,0,8
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin41_scaled10.0.wav,4,0,4
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin40_scaled10.0.wav,6,0,2
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin3_scaled0.5.wav,0,0,5
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin4_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,5,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin41_scaled0.5.wav,0,0,5
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin41_scaled10.0.wav,2,0,3
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin41_scaled0.5.wav,0,0,5
sid1816-anchor-COSINE-2734-M_close_91_freqbin41_scaled1000.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,5,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin3_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,5,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin4_scaled0.5.wav,0,1,4
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin41_scaled10.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin41_scaled1000.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin4_scaled10.0.wav,4,1,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin3_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,4,1
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin3_scaled0.5.wav,2,0,3
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin2_scaled0.5.wav,0,0,5
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin41_scaled1000.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin31_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,5,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin31_scaled0.5.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,2,3
sid3114-clean-COSINE-3826-M_close_132_freqbin3_scaled10.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,4,1
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin41_scaled0.5.wav,0,0,5
sid2579-noisy-COSINE-3231-F_array1_81_freqbin41_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,3,2
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin3_scaled1000.0.wav,5,0,0
sid3114-clean-COSINE-3826-M_close_132_freqbin2_scaled1000.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,5,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,4,5,76
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin2_scaled10.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin31_scaled10.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,1,3,1
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin31_scaled1000.0.wav,4,0,1
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin1_scaled10.0.wav,3,0,2
sid4715-noisy-COSINE-6463-F_array1_69_freqbin41_scaled1000.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,1,4,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin3_scaled0.5.wav,0,0,5
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin41_scaled10.0.wav,3,0,2
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin3_scaled1000.0.wav,5,0,0
sid4715-noisy-COSINE-6463-F_array1_69_freqbin41_scaled0.5.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,0,5
sid3114-clean-COSINE-3826-M_close_132_freqbin1_scaled1000.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,5,0
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin1_scaled0.5.wav,0,0,5
sid4715-noisy-COSINE-6463-F_array1_69_freqbin31_scaled0.5.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,0,5
sid4715-noisy-COSINE-6463-F_array1_69_freqbin3_scaled10.0.wav / sid4715-noisy-COSINE-6463-F_array1_69.wav,0,4,1
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin31_scaled10.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin3_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,2,3,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin3_scaled10.0.wav,1,0,4
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin31_scaled0.5.wav,1,0,4
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin2_scaled1000.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin31_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,1,4,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin5_scaled0.5.wav,0,1,4
sid2579-noisy-COSINE-3231-F_array1_81_freqbin31_scaled1000.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,5,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin5_scaled1000.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin5_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,1,2,2
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin2_scaled10.0.wav,2,0,3
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin3_scaled0.5.wav,0,0,5
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin2_scaled0.5.wav,0,0,5
sid2579-noisy-COSINE-3231-F_array1_81_freqbin2_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,4,3
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin0_scaled1000.0.wav,7,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin5_scaled10.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,6,1
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin5_scaled1000.0.wav,7,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin2_scaled0.5.wav,0,0,7
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin5_scaled0.5.wav,1,2,4
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin0_scaled10.0.wav,1,1,5
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin2_scaled1000.0.wav,6,0,1
sid5333-noisy-COSINE-7408-M_array1_149_freqbin2_scaled10.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,4,3
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin2_scaled1000.0.wav,7,0,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin0_scaled0.5.wav,0,1,6
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin2_scaled0.5.wav,0,1,6
sid1816-anchor-COSINE-2734-M_close_91_freqbin31_scaled1000.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,5,0
sid3629-clean-COSINE-4174-F_close_72_freqbin5_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,5,0
sid3114-clean-COSINE-3826-M_close_132_freqbin31_scaled0.5.wav / sid3114-clean-COSINE-3826-M_close_132.wav,1,0,4
sid3114-clean-COSINE-3826-M_close_132_freqbin31_scaled10.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,4,1
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin0_scaled10.0.wav,1,0,4
sid3629-clean-COSINE-4174-F_close_72_freqbin5_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,1,4
sid1816-anchor-COSINE-2734-M_close_91_freqbin31_scaled0.5.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,1,4
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin31_scaled1000.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin0_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,5,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin5_scaled1000.0.wav,5,0,0
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin0_scaled0.5.wav,0,1,4
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin31_scaled10.0.wav,3,0,2
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin5_scaled1000.0.wav,8,0,0
sid5333-noisy-COSINE-7408-M_array1_149_freqbin0_scaled0.5.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,1,7
sid3629-clean-COSINE-4174-F_close_72_freqbin3_scaled1000.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,8,0
sid5333-noisy-COSINE-7408-M_array1_149_freqbin0_scaled10.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,0,7,1
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin4_scaled10.0.wav,8,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin0_scaled1000.0.wav,8,0,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin3_scaled10.0.wav,5,0,3
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin5_scaled10.0.wav,8,0,0
sid3114-clean-COSINE-3826-M_close_132_freqbin4_scaled1000.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,8,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin3_scaled0.5.wav,1,0,7
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin4_scaled0.5.wav,1,1,6
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin5_scaled0.5.wav,0,1,7
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin1_scaled1000.0.wav,4,1,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin2_scaled10.0.wav,5,0,0
sid1816-anchor-COSINE-2734-M_close_91_freqbin1_scaled0.5.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,1,4
sid5333-noisy-COSINE-7408-M_array1_149_freqbin5_scaled10.0.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,1,1,3
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin2_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,5,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin40_scaled10.0.wav,2,0,3
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin2_scaled0.5.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,0,5
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin5_scaled0.5.wav,0,0,5
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin5_scaled1000.0.wav,5,0,0
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin40_scaled1000.0.wav,5,0,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin1_scaled10.0.wav,4,0,1
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin40_scaled0.5.wav,0,0,5
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin40_scaled1000.0.wav,5,1,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin0_scaled1000.0.wav,6,0,0
sid3629-clean-COSINE-4174-F_close_72.wav / sid3629-clean-COSINE-4174-F_close_72_freqbin0_scaled10.0.wav,5,0,1
sid2579-noisy-COSINE-3231-F_array1_81_freqbin1_scaled0.5.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,0,6
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin1_scaled0.5.wav,0,1,5
sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin1_scaled1000.0.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,0,6,0
sid2579-noisy-COSINE-3231-F_array1_81_freqbin1_scaled10.0.wav / sid2579-noisy-COSINE-3231-F_array1_81.wav,0,1,5
sid3629-clean-COSINE-4174-F_close_72_freqbin0_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,0,6
sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav / sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin1_scaled10.0.wav,2,0,4
sid2579-noisy-COSINE-3231-F_array1_81.wav / sid2579-noisy-COSINE-3231-F_array1_81_freqbin1_scaled1000.0.wav,6,0,0
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin40_scaled0.5.wav,0,0,6
sid4715-noisy-COSINE-6463-F_array1_69.wav / sid4715-noisy-COSINE-6463-F_array1_69_freqbin40_scaled10.0.wav,4,0,2
sid1816-anchor-COSINE-2734-M_close_91_freqbin3_scaled0.5.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,2,4
sid1816-anchor-COSINE-2734-M_close_91_freqbin2_scaled0.5.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,1,0,5
sid5333-noisy-COSINE-7408-M_array1_149_freqbin40_scaled0.5.wav / sid5333-noisy-COSINE-7408-M_array1_149.wav,3,0,3
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin3_scaled1000.0.wav,6,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin40_scaled1000.0.wav,6,0,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin2_scaled10.0.wav,6,0,0
sid3629-clean-COSINE-4174-F_close_72_freqbin31_scaled0.5.wav / sid3629-clean-COSINE-4174-F_close_72.wav,1,1,4
sid1816-anchor-COSINE-2734-M_close_91_freqbin3_scaled10.0.wav / sid1816-anchor-COSINE-2734-M_close_91.wav,0,6,0
sid1816-anchor-COSINE-2734-M_close_91.wav / sid1816-anchor-COSINE-2734-M_close_91_freqbin2_scaled1000.0.wav,6,0,0
sid3629-clean-COSINE-4174-F_close_72_freqbin31_scaled10.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,1,1,4
sid3629-clean-COSINE-4174-F_close_72_freqbin31_scaled1000.0.wav / sid3629-clean-COSINE-4174-F_close_72.wav,0,6,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin40_scaled10.0.wav,5,0,1
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin41_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,2,2,1
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin1_scaled0.5.wav,0,0,5
sid3114-clean-COSINE-3826-M_close_132_freqbin5_scaled1000.0.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,5,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin1_scaled1000.0.wav,5,0,0
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin1_scaled10.0.wav,2,1,2
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin1_scaled1000.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,5,0
sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin1_scaled10.0.wav / sid0101-clean-COSINE-0100-M_close_202-truncated.wav,0,5,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin41_scaled1000.0.wav,5,0,0
sid0101-clean-COSINE-0100-M_close_202-truncated.wav / sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin41_scaled0.5.wav,0,0,5
sid5333-noisy-COSINE-7408-M_array1_149.wav / sid5333-noisy-COSINE-7408-M_array1_149_freqbin1_scaled0.5.wav,0,0,5
sid3114-clean-COSINE-3826-M_close_132_freqbin5_scaled0.5.wav / sid3114-clean-COSINE-3826-M_close_132.wav,0,0,5
sid3114-clean-COSINE-3826-M_close_132.wav / sid3114-clean-COSINE-3826-M_close_132_freqbin5_scaled10.0.wav,5,0,0
